会员卡号,性别,年龄,会员卡注册时间,会员卡级别
06900052971,M,30.0,2017-07-01 00:00:00,璀璨卡
1010020011155950,F,39.0,2014-10-12 00:00:00,璀璨卡
1010010011223797,F,32.0,2016-07-27 00:00:00,璀璨卡
1010010011174175,F,44.0,2012-02-09 00:00:00,缤纷卡
6600083936,F,-1.0,2015-11-11 00:00:00,缤纷卡
1010010018034572,F,35.0,2015-12-26 00:00:00,璀璨卡
1000011810700094,F,32.0,2018-04-17 20:08:33,缤纷卡
1000011816300373,F,30.0,2018-06-12 15:52:56,璀璨卡
1010010011100723,F,29.0,2013-11-19 00:00:00,璀璨卡
1010010011337167,F,42.0,2017-05-30 00:00:00,缤纷卡
06900073700,F,20.0,2017-07-31 21:55:20,缤纷卡
1010010018040978,F,57.0,2011-11-12 00:00:00,至尊卡
06900074368,F,31.0,2017-08-08 13:35:06,璀璨卡
1010020018023523,F,30.0,2016-10-10 00:00:00,璀璨卡
1010020011369562,F,24.0,2017-04-17 00:00:00,缤纷卡
1010010011203695,F,30.0,2012-01-01 00:00:00,缤纷卡
1010010018005254,F,33.0,2012-04-23 00:00:00,璀璨卡
1010010018017032,F,33.0,2009-02-27 00:00:00,璀璨卡
1010010011109759,F,28.0,2016-05-21 00:00:00,璀璨卡
6600086735,F,-1.0,2016-02-02 00:00:00,璀璨卡
1010010018002846,F,40.0,2010-07-27 00:00:00,璀璨卡
1010010011299620,F,36.0,2017-10-07 00:00:00,缤纷卡
1000011808600068,F,26.0,2018-03-27 19:04:21,缤纷卡
1010010018012133,M,30.0,2011-09-11 00:00:00,璀璨卡
6600099906,F,-1.0,2016-08-14 00:00:00,缤纷卡
1000011809300063,M,33.0,2018-04-03 19:48:04,璀璨卡
1010020011234732,F,34.0,2016-10-13 00:00:00,璀璨卡
1010010018034531,F,43.0,2015-12-26 00:00:00,璀璨卡
1010010011138698,M,34.0,2010-01-25 00:00:00,缤纷卡
1010010011191122,F,25.0,2012-05-07 00:00:00,缤纷卡
1010010011222164,F,32.0,2015-11-28 00:00:00,缤纷卡
1010010011198135,F,55.0,2014-06-18 00:00:00,缤纷卡
1000011900400386,F,29.0,2019-01-04 13:10:06,缤纷卡
1010010011139448,F,27.0,2011-08-02 00:00:00,缤纷卡
1000011816900853,F,-1.0,2018-06-18 16:19:32,预享卡
1000011906501480,F,-1.0,2019-03-06 20:22:03,预享卡
801000130531,F,28.0,2013-07-05 00:00:00,璀璨卡
1000011829100818,F,-1.0,2018-10-18 18:56:05,预享卡
1000011917403503,U,-1.0,2019-06-23 15:05:26,预享卡
1010010018031023,F,36.0,2010-06-01 00:00:00,璀璨卡
1010010011154794,F,41.0,2015-05-03 00:00:00,缤纷卡
1010010011216789,F,39.0,2017-02-28 00:00:00,缤纷卡
1000011911301687,F,25.0,2019-04-23 15:21:21,璀璨卡
06900072931,F,27.0,2017-07-25 00:00:00,预享卡
1010010011214198,F,26.0,2017-04-09 00:00:00,璀璨卡
1000011900602815,M,29.0,2019-01-06 19:11:22,预享卡
0500498888,F,30.0,2018-02-20 00:00:00,璀璨卡
1010010018019130,F,48.0,2015-10-02 00:00:00,璀璨卡
1000011900901546,F,49.0,2019-01-09 20:41:09,缤纷卡
1010010018051600,F,49.0,2008-07-20 00:00:00,至尊卡
1010010011127117,F,27.0,2016-01-10 00:00:00,缤纷卡
1000011902301386,U,37.0,2019-01-23 18:38:42,璀璨卡
06900078201,M,38.0,2017-09-03 17:38:41,缤纷卡
06900082370,F,-1.0,2017-10-06 11:51:14,预享卡
1010020011460372,M,25.0,2017-12-29 00:00:00,璀璨卡
1000011836404340,U,-1.0,2018-12-30 21:11:09,缤纷卡
1010010011180180,F,35.0,2015-05-01 00:00:00,缤纷卡
06900090740,M,-1.0,2017-12-08 13:16:37,预享卡
1010010011166158,F,47.0,2014-01-18 00:00:00,缤纷卡
1010010018042624,F,39.0,2010-08-13 00:00:00,璀璨卡
1000011822600226,F,30.0,2018-08-14 13:05:05,璀璨卡
1000011817401222,M,21.0,2018-06-23 18:49:06,璀璨卡
06900000638,F,18.0,2017-04-07 13:19:45,预享卡
06900096426,F,36.0,2018-01-03 18:29:11,璀璨卡
1010010011122072,F,29.0,2016-02-27 00:00:00,缤纷卡
1010020018040596,M,43.0,2015-09-24 00:00:00,璀璨卡
1000011824504395,F,24.0,2018-09-02 21:51:11,璀璨卡
1010010018026441,F,36.0,2010-08-23 00:00:00,璀璨卡
1010010011214328,F,30.0,2017-03-19 00:00:00,缤纷卡
1010010018005880,M,37.0,2010-07-24 00:00:00,璀璨卡
6600113671,F,23.0,2016-09-08 13:04:51,缤纷卡
1010010018004685,F,23.0,2015-09-19 00:00:00,璀璨卡
1010010018051156,F,33.0,2017-06-11 00:00:00,璀璨卡
06900077687,F,18.0,2017-08-31 21:37:48,预享卡
06900075870,F,46.0,2017-08-19 12:29:17,缤纷卡
1000011912105494,U,-1.0,2019-05-01 16:14:45,预享卡
1010010018018828,F,31.0,2012-11-22 00:00:00,缤纷卡
1000011816500128,F,-1.0,2018-06-14 12:19:37,预享卡
1010010018006746,M,41.0,2016-05-06 00:00:00,璀璨卡
A1010010018050835,F,30.0,2015-08-22 00:00:00,璀璨卡
1010020011163802,F,36.0,2016-04-10 00:00:00,璀璨卡
1010020011304524,F,22.0,2017-01-25 00:00:00,璀璨卡
1010010011139190,F,37.0,2009-03-26 00:00:00,缤纷卡
06900001698,F,18.0,2017-04-15 14:29:08,预享卡
1010010011114192,F,27.0,2013-10-06 00:00:00,璀璨卡
1000011810400057,M,-1.0,2018-04-14 12:29:55,预享卡
1000011825400115,F,26.0,2018-09-11 10:39:04,缤纷卡
1010010011229108,M,31.0,2015-01-16 00:00:00,缤纷卡
06900000083,M,34.0,2017-03-30 00:00:00,璀璨卡
1010020018026647,F,38.0,2015-03-26 00:00:00,璀璨卡
6600093180,F,28.0,2016-07-05 00:00:00,璀璨卡
1010010018019976,F,30.0,2015-10-09 00:00:00,璀璨卡
1000011815600507,M,47.0,2018-06-05 14:41:44,璀璨卡
6600166636,M,38.0,2016-12-28 20:02:49,璀璨卡
1010010011104256,F,37.0,2014-12-17 00:00:00,缤纷卡
1000011825601847,F,-1.0,2018-09-13 23:50:11,预享卡
1010010011214501,F,32.0,2017-02-14 00:00:00,缤纷卡
1000011825500097,F,-1.0,2018-09-12 10:37:52,预享卡
1010010018050586,F,32.0,2016-01-16 00:00:00,缤纷卡
1010010018020378,F,30.0,2015-09-04 00:00:00,璀璨卡
1000011831101067,M,25.0,2018-11-07 19:36:30,预享卡
1010010011224916,M,33.0,2016-07-10 00:00:00,缤纷卡
06900084395,M,26.0,2017-10-23 13:20:20,缤纷卡
1000011912101919,U,-1.0,2019-05-01 12:18:58,预享卡
1010010011105013,F,53.0,2008-09-20 00:00:00,缤纷卡
1010020011361602,F,39.0,2017-06-17 00:00:00,璀璨卡
1010020018049383,M,25.0,2018-01-04 00:00:00,璀璨卡
1010020011115244,F,29.0,2013-06-23 00:00:00,璀璨卡
1010010011192237,F,29.0,2015-04-26 00:00:00,缤纷卡
1010010011234917,F,30.0,2009-04-01 00:00:00,璀璨卡
1010010018035792,F,41.0,2016-11-21 00:00:00,璀璨卡
1010010011136607,M,33.0,2013-09-20 00:00:00,缤纷卡
1000011822301311,F,-1.0,2018-08-11 16:48:50,预享卡
1000011829201211,F,31.0,2018-10-19 20:46:17,预享卡
